"text","emotion","polarity"
" mciliv quelle occasion pour liverpool a quelques m u e tres du but","unknown","positive"
" here we go ud d udd ud d udd t co cuynl j ","unknown","positive"
"","unknown","positive"
" hasn t been a frantic start been pure shite so far t co ftdkfgmoes ","unknown","negative"
" great unsolved mysteries n nmh nlord lucan n tv money njfk nlucas leiva still at lfc ","joy","positive"
" ft mancity lfc n nmilner s penalty cancelled out by aguero s late goal n nmore gt gt gt t co j hk ciqmc t co q h lz l ","unknown","negative"
" u a u u u f u u a u u u u u u f u a u sauditrendat n cityvlfc n u u a u u a u u u u u u u u u a u u u u u u u u a u f n u u u u u u a u a u u u u u u f u u u u a u u u a n mciliv u u a u u u a u u u u a u t co dpp uh owk u ","unknown","positive"
" we ve been robbed of a barcelona psg here mciliv ","unknown","positive"
" five manchester city players around oliver after he finally gives penalty fa will presumably charge club for not contro u ","joy","neutral"
" hahahahhahahahah n n t co c hdnlvmfk ","unknown","positive"
" come on t co ujnr uwfq ","unknown","positive"
" ub ud c ub e uc ube uaca uc mciliv ","unknown","positive"
" if bravo was in goal man city would be goals down by now mciliv ","unknown","positive"
" mciliv n n s e ats n emp t y n i n n t h is n st a dium nexpecte u ","unknown","positive"
" live match menit ","joy","positive"
" a thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h nnhkmg q ","unknown","positive"
" watching this game right now mciliv t co e fisrolx ","unknown","neutral"
" cool as it gets n nmilner sends caballero the wrong way to give us the lead from the spot ud c udfaf n n t co ftdiveaavc ","unknown","negative"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" oliver will try evening this up you watch lfc ","unknown","negative"
" me after the lallana miss n n lfc mcfcvlfc t co eafyzrpmwj ","unknown","negative"
" a thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h nnhkmg q ","unknown","positive"
" ud d udcf it s still man city liverpool and as we head towards added time u n n u will someone have the final say mciliv u ","unknown","positive"
" link u f ping winning with goals from hurtig and banusic harder scoring good things happen when i m at work now it s your turn ","disgust","positive"
" oops mciliv t co sjosmy xpb ","unknown","positive"
" foi um bom jogo ambas equipes tiveram chances ","unknown","positive"
" mignolet ","unknown","positive"
" what are the odds i won a soccer ball and mtn recharge card for predicting mucity vs lfc correctly madeofblack ud d ude ","unknown","positive"
" jm i know cfc","unknown","positive"
" proper men proper managers pep and juergen mciliv pl electric pace ynwa ","joy","positive"
" she s beautiful n mciliv n t co ne j qjytm ","unknown","positive"
" not sure why city fans booing ref at half time he s done them some huge favours st half mciliv ","unknown","positive"
" five manchester city players around oliver after he finally gives penalty fa will presumably charge club for not contro u ","joy","neutral"
" emre can should have got man of the match he was brilliant its not very often that happens either ud d udc f lfc ","unknown","positive"
" what the heck is she putting inside n mciliv n t co nzquwhuxsc ","unknown","negative"
" yes milner mciliv ","unknown","positive"
" live match mancity vs liverpool masih alot di babak i t co sfusz dg viva ","joy","positive"
" aguero faut toujours qu il nique son dernier geste jsuis mort poteau de de bruyne la chatte de liverpool est immense mciliv ","joy","positive"
" coutinho shapes up for a yard shot but it soars just over n n t co em e fc ","unknown","positive"
" vaut mieux zap u e mciliv match fou ","disgust","positive"
" she s beautiful n mciliv n t co gavpc wmrm ","unknown","positive"
" miss city livermiss n mciliv ","unknown","negative"
" itu tolong pawang hujan segera dikaryakan biar bisa berkarya tq ","unknown","positive"
" credit to emre can ud d udc d t co xzrvbe iew ","unknown","positive"
" we rollen gewoon door mciliv c u mon city ","unknown","positive"
" it s been a cracking match","unknown","positive"
" ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ","unknown","negative"
" man city fans getting salty that their players keep getting caught offside and are blaming the refs makes sense mciliv premierleague ","unknown","positive"
" goal man city liverpool mins james milner slots home from the spot after clichy had fouled firmino mciliv ","unknown","negative"
" five manchester city players around oliver after he finally gives penalty fa will presumably charge club for not contro u ","joy","neutral"
" what a miss lfc ","unknown","negative"
" sends off for f ck all but this from yaya toure is ok round of applause ud d udc f ud c udffc for michael oliver u ","unknown","positive"
" we ll take that could have been more but ","unknown","positive"
" both lfc bookings were soft oliver has reacted to the theatrics amp not the actual challenge city players don t make it eas u ","unknown","negative"
" mancity e lfc ficam no empate num joga u c o milner e aguerosergiokun fizeram os gols da partida t co gsralrkhq foto ","unknown","negative"
" lmao lallana s miss ud d ude ud d ude n mciliv pl t co d gzcg gg ","unknown","negative"
" needs more refs like mike oliver mciliv epl ","joy","positive"
" can amp gini superb today lfc ","unknown","positive"
" he s not at his best by a long way but","unknown","negative"
" milner scores mciliv ","unknown","positive"
" a thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h nnhkmg q ","unknown","positive"
" sergio ag u fcero has scored in each of his last five premier league matches against liverpool at the etihad mciliv ","unknown","negative"
" sunny as ever in manchester mciliv ","joy","positive"
" solid start to the second half n nlallana pulls it back for sadio","unknown","positive"
" trend alert mciliv more trends at t co lz lsnkin trndnl t co f onmyben ","fear","positive"
" noooo ","unknown","positive"
" manchester city vs liverpool t co vism apq mciliv t co bsjv huii ","unknown","positive"
" no game again until st april lucky the wife s christmas present kicks in with us over to anfield for the derby lfc can t wait countdown ","unknown","neutral"
" mcfc fans booing james milner mciliv t co vtgfghsmf ","unknown","positive"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" firminio celebrated to early ud d ude ud d ude lfc n n t co q glyz qr ","unknown","positive"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" xi mignolet","unknown","positive"
" when your mate pulls a mciliv t co kn th k vx ","unknown","positive"
" mciliv l u e norme r u e action wtf de guardiola apr u e s une faute offrant un superbe check avec klopp ud d ude ud d udc a ud d ude d pl cc u ","unknown","positive"
" live stream manchestercity vs liverpool n nandroid ud d udcf hd n t co hxkfmjd n npc ud d udcbbios ud d udcf u ","joy","positive"
" michael oliver having an absolute shocker mciliv ","unknown","positive"
" is it just me or if can wasn t german had a fancy surname and didn t have a nice haircut he wouldn t get onto our benc u ","joy","positive"
" hahahahahaha ","unknown","positive"
" para uno de los comentaristas de nno hay roja nno hay penalti nfuera de juego mciliv ","unknown","positive"
" another big game where city have dropped points due to poor finishing lfc could ve scored some too aguero s making it ha u ","sadness","negative"
" never a penalty once you get megged like that","joy","negative"
" pl ud c uddec ud c udde man city liverpool n ntermin u c n n mciliv t co xfit npcry ","unknown","positive"
" man city e liverpool empatam a com golos de milner e aguero mciliv t co yhxqiwinw ","unknown","positive"
" somehow still haven t conceded mciliv lfc ynwa t co zjozswnbg ","unknown","positive"
" what the heck is she putting inside n mciliv n t co tzroahg py ","unknown","negative"
" live match menit ","joy","positive"
" u b tempo na espn com e vs n u e o u e s u f exclusivo u e na premierleaguesonaespn ","unknown","positive"
" the ref chooses the worst incident to call a pk once again lfc is rewarded for mcfcvlfc ","unknown","negative"
" emre can should really work on his consistency lfc ","unknown","positive"
" mciliv bmgfcb change d u edadelhombre comlulaosertaoviroumar daystopurposetourbrasil n t co uhipv sqwy ","unknown","positive"
" mciliv l u e norme r u e action wtf de guardiola apr u e s une faute offrant un superbe check avec klopp ud d ude ud d udc a ud d ude d pl cc u ","unknown","positive"
" city got carved twice in minutes ud d ude ud d ude ud d ude ud d ude ud d ude gameon n mciliv ","unknown","positive"
" aguero scored nman city liverpool n lfc mciliv ","unknown","positive"
" she s beautiful n mciliv n t co rciddb l i ","unknown","positive"
" el rufai is a threat to nigeria s national security reno omokri t co tdcavc xif mciliv stephen odey starfootballleague mufc ","unknown","negative"
" if dunc is pointing it out in our favour it s clearly a pen t co imkk rtlns ","joy","neutral"
" obviously would have preferred a win but glad we managed to hold onto that point against such an attacking side lfc ","joy","neutral"
" milner is going to take the penalty mciliv ","unknown","negative"
" a thoroughly entertaining contest ends with a share of the points ud d udd ud d udd t co h nnhkmg q ","unknown","positive"
" milner yes mciliv ","unknown","positive"
" mancity vs liverpool berakhir tanpa pemenang t co y q qjsc u bola t co mbpobfwqa ","unknown","positive"
" tha miss from lallana ntoo much nivea cream on his boots ffs n lfc ","unknown","negative"
" lfc knows the score u ufe f ud d udca ud d udc ud c udffb t co nxyaco y ","anger","positive"
" don t start celebrating until you see the bill in the net mciliv reds lallana ","unknown","positive"
" aguero his first vs a top side this season mciliv ","surprise","positive"
" not a bad performance and result but lallana had to score that lfc ynwa ","anger","negative"
" u u e u u u u u u u u c u u f t co wdeim p bi ","unknown","positive"
" lallana playing that poorly infront of goal is a hazard to my health but i can t take away the warrior s work rate tonight mciliv ynwa ","unknown","negative"
" check out lfc liver bird engraved acrylic plastic keyring fob t co bvvcsv yfs ","unknown","positive"
" let s kill this game cmon redman lfc ","unknown","negative"
" lfc lah ","unknown","positive"
" t co rz pviklr mr oliver liverpools no fan mancity liverpool mcfclfc mcfc lfc ","unknown","positive"
" how is this match still n nsterling amp fernandinho go close for mcfc before firmino is denied for lfc u ","joy","neutral"
" played","unknown","positive"
" makin keras bung mciliv ynwa ","unknown","positive"
" it s boringmilner","unknown","positive"
" all of james milner s goals this season has been by penalties mciliv ","unknown","positive"
" ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ","unknown","negative"
" mciliv is this hashtag roman numerals for when liverpool last won a major domestic title ","unknown","negative"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" emre can was motm all day long referee bottled it yaya and silva should have went great performance lfc wegoagain ","joy","neutral"
" mciliv je pense qu il y a une erreur ce chiffre n existe pas ","unknown","positive"
" so close n nroberto races through but his shot is saved n n t co pfaqxry ev ","joy","negative"
" penalty pour liverpool mciliv ","unknown","negative"
" paddypower football nufc n lufc afc n premierleague mufc lfc n mcfc avfc spurs efc nbet u a get u a nclaim gt u ","sadness","negative"
" ud d udcf no shortage of excitement at the etihad but it s man city liverpool u somehow mins mciliv t co skmgu u ","joy","neutral"
" t co czvqhu kyr n n excaja n n azado n nfeyenoord n n gaezwo n n mciliv n n trbinda n ncoolsingel n nbiesbosch n nvilhena n nchuck u ","unknown","positive"
" good yahyatoure came off he looks absolutely knackered mciliv bpl ","joy","positive"
" gol de milner lfc ","unknown","positive"
" watching in the morning and going to the match today pretty much my perfect day bluemoon skyblueseagreen ","unknown","positive"
" we are just a ball of mess in front of the city post mciliv lfc ","unknown","neutral"
" fair result city lfc with both sides missing sitters ynwa ","unknown","positive"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" full tim man city vs liverpool t co qfteouscfv ","unknown","positive"
" why is koloa looking away ud d ude ud d ude mciliv ","unknown","positive"
" mt elgon kang anga nategea karakanayasoka ","unknown","positive"
" it s honours even at the etihad","unknown","positive"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" firmino frustrates the shit out of me lfc ","unknown","positive"
" lfc keep this up and a goal will come tough team tough venue not so tough last fixtures we can do this ","unknown","negative"
" what the heck is she putting inside n mciliv n t co lg osupuve ","unknown","negative"
" yo one more to win come on city ","unknown","positive"
" she s beautiful n mciliv n t co yrkgedgrsv ","unknown","positive"
" joe scarborough t co j p yszqoj ","unknown","positive"
" kun skulle hatt straffe i f u f rste gir seg ikke i dag nydelig scoring fortjent mciliv ","unknown","positive"
" col culo che hai far u e autogol ud d ude ","unknown","positive"
" draw please draw you both shit just draw mciliv ","joy","positive"
" my nerves are shredded but would have took a point beforehand so on we go lfc ","unknown","positive"
" goal u u a aguero nassist u u a de bruyne n nman city liverpool mins mciliv fpl ","unknown","positive"
" what the heck is she putting inside n mciliv n t co xabh is pl ","unknown","negative"
" lallana you ve got to be joking me ud d ude ud d ude mciliv ","unknown","positive"
" unlucky","unknown","negative"
" mciliv and a yellow card for gael clichy milner to take u bd ufe f ","unknown","positive"
" goal let go city mcfc cmoncity mciliv premierleague ","unknown","positive"
" on reviendra sur cette folie de city liverpool dans la semaine fav pour recevoir l article mciliv ","unknown","positive"
" game of the season t co ieu v v ","unknown","neutral"
" draw go pap ruff n mciliv ","unknown","positive"
" u a u b u a u ed u a u u u a u u u n mciliv ","unknown","positive"
" betvictor new custom nbet u a get n football golf epl sfc n lfc mufc mcfc afc nentry k golden goal claim gt u ","sadness","negative"
" why is oliver still allowed to referee mciliv ","unknown","positive"
" what the heck is she putting inside n mciliv n t co c arpoxyn ","unknown","negative"
" debruyne das schlitzohr fast mit nem tor n n lfc ynwa mcfcvlfc ","anger","negative"
" it s boringmilner","unknown","positive"
" ni caballero tumben u b an maen nya segeh kek gini bisa u b kang brapo makin lamo jdi paangek saluang di bangku cadangan nih ud d ude mciliv ","unknown","positive"
" liverpool fans looking at adam lallana mciliv t co vgiekd ont ","unknown","positive"
" a good battle ud d udd ud d udd t co y qkgj gg ","joy","neutral"
" unbelievable how its still mciliv ","unknown","negative"
" tough call very clumsy u b challenge but the defender got the ball first ref maybe trying to atone for first half blunder mciliv ","unknown","negative"
" kevin de bruyne has registered assists in the premier league this season","unknown","positive"
" coutinho shapes up for a yard shot but it soars just over n n t co em e fc ","unknown","positive"
" entertainment","unknown","positive"
" goal man city liverpool mins james milner slots home from the spot after clichy had fouled firmino mciliv ","unknown","negative"
" lfc v man city","unknown","positive"
" where tf is woodburm btw mciliv ","unknown","positive"
" mciliv so much at stake city on top in game that is no classic so far more tale of missed chances t co lx zann f ","surprise","negative"
" lallana won t sleep for a few nights mciliv t co pcvfrebwaa ","unknown","positive"
" gimmefive ud d udc b ud c udffb guardiola klopp cityvlfc mciliv lfc mci t co u hud atw ","unknown","positive"
" he didn t tho u retarts","unknown","positive"
" fuck t co rswspiwsy ","unknown","positive"
" games left vs top nchelsea nman u nman city narsenal nspurs nlfc nat least points to be dropped here ","surprise","negative"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" when was the last time we scored from a corner lfc ","unknown","neutral"
" u u b a u bbf u bb u ba u bbf u bae u bbf u b f u b a u ba u bcd u ba u bcb u bb u b u bcd u b u bb u bcd n u mciliv n u a risingstarredcarpet n u b mirchimusicawards n u c playforacause ","unknown","positive"
" here we go ud d udd ud d udd t co cuynl j ","unknown","positive"
" goal liverpool madeoffootball mciliv ","unknown","positive"
" mciliv quelle occasion pour mancity frappe de san u e repouss u e e par mignolet silva suit mais envoie son tir u ","disgust","positive"
" misses everywhere in this game lfc ","unknown","negative"
" mane motm been quite poor for me lfc ","sadness","negative"
" klopp","unknown","positive"
" utterly shocking t co p hviy x c ","unknown","negative"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" two clear penalties not given worst ref of all time lfc ","unknown","negative"
" how many seasons has he been at liverpool ","unknown","positive"
" oh tiens un penalty pour liverpool ud d ude mciliv ","unknown","negative"
" what a game of football mciliv ","unknown","negative"
" it s good to talk the phone lines are open we are on air with amp straight after mciliv t co lb oztacts ","joy","positive"
" u u u u u u u u f u u u a u u u u u u u a u u u ","unknown","positive"
" hapa vip kwa ma legends tecnoxmcfc t co txrrwq x v ","unknown","negative"
" get in come on you redmen lfc ","sadness","negative"
" come on liverpool ","unknown","positive"
" it s awful t co sfeq lj gi ","fear","negative"
" what the heck is she putting inside n mciliv n t co fspqpux te ","unknown","negative"
" semoga hasilnya imbang biar makin nyaman di puncak mci vs liv mciliv supersoccertv cfcindo epl ","joy","positive"
" this mciliv is a great game of football and like all great games best enjoyed while you re drunk and don t care who wins ","joy","neutral"
" i swear liverpool must have the highest penalties awarded this season mciliv ","unknown","negative"
" wbd top trends russia ud c uddf ud c uddfa mar krat n u u u d u u u u u u u d u u b n change ud c udf n u u a u u u u n u u a u u u u n u u u u u a u u u a u n mciliv ud c udf n u f u u e u u u u u n n t co dvmt nfyxf ","surprise","negative"
" penalty to lfc goal to liverpool milner ","unknown","negative"
" i love you u ynwa ","joy","positive"
" pls don t bottle lfc ","unknown","positive"
" yaya toure slides in and catches emre can in the chest n n that has got to be a red card savage n n mciliv u ","unknown","negative"
" ud c udfa what a game that was lfc t co z so nrqgm ","unknown","negative"
" i think i prefer mark clattenberg to michael oliver ud d ude ud d ude mciliv ","joy","positive"
" reliable as you like lfc u bd ufe f ud d udd u aa ufe f ","joy","positive"
" origi on for coutinho lfc ","unknown","positive"
" she s beautiful n mciliv n t co ehuokskewy ","unknown","positive"
" what the heck is she putting inside n mciliv n t co kejgegsk k ","unknown","negative"
" come on city","unknown","positive"
" who missed the better opportunity mciliv ","unknown","positive"
" hopefully the second half has a goal or for the reds lfc t co o y aw fh ","unknown","positive"
" ud d ude ud d ude members of the th estate akina arsenal t co vcjcuemnfb ","unknown","positive"
" best possible way for milner to silence the boo boys lfc lead at the etihad","unknown","neutral"
" eh eh ehhh","unknown","positive"
" solid start to the second half n nlallana pulls it back for sadio","unknown","positive"
" what the heck is she putting inside n mciliv n t co i oqgvatc ","unknown","negative"
" come on boys let s get this win ","sadness","negative"
" i thought both gini amp can were immense for lfc today we saw the best of can he looks fitter amp stronger ","unknown","positive"
" jurgen klopp we could have won u we forced the keeper to make outstanding saves a point away to man city","unknown","positive"
" penalty shout lfc t co pa n bjnee ","unknown","negative"
" haters will say i m listening to mciliv game pale kiss fm n nnp distance n nomarion ","unknown","neutral"
" next season if firmino plays striker we riot smh sooo wasteful dissapointed ud d ude ud d ude lfc mciliv ","unknown","neutral"
" and we re under way at etihad stadium for mciliv n nbut which manager will be smiling at the final whistle t c u ","unknown","neutral"
" what the heck is she putting inside n mciliv n t co lz yhyjiib ","unknown","negative"
" gooooooal milnerrrr t co rfdb qsuwy ","unknown","positive"
" ag u dceroooooooooooo n mciliv ","unknown","positive"
" need to keep winning","unknown","negative"
" ht all things considered","unknown","positive"
" futboltotaldirectvbacca otro vez corner para el ","unknown","positive"
" it has everything but goals so far ud d udd ud d udd t co qx otj ","unknown","positive"
" thank you mr oliver soft pen mciliv ","joy","positive"
" they ve called it a full house at the etihad today mciliv t co uuntgamthu ","unknown","positive"
" klavan having his customary mare lfc ","unknown","positive"
" u u u u u u u u u u u u u a u c u u a u u u u u u u u u u u u u u a u u u u f u u a u u f u u a u u theviocekids mciliv u u u u u u u u u a u u u u u u u a u a u a u u a u u u u u mesaza u t co wyszgauckd ","unknown","positive"
" oh that ll another pen and red yaya","joy","positive"
" u a u u u f u a u u u u u u u u mciliv t co uilpa uhbs ","unknown","positive"
" that ll do nicely lads ","unknown","positive"
" live hd stream manchester city vs liverpool n n t co tcln reuwg u u n nsupport all devices n n cityvlfc mcfc u t co bb ufxzynv ","joy","positive"
" yes great shot by milner love how klopp doesn t watch penalty shots lfc ","joy","neutral"
" penalty shout lfc t co pa n bjnee ","unknown","negative"
" firminio celebrated to early ud d ude ud d ude lfc n n t co q glyz qr ","unknown","positive"
" u u a u u u u u a u c u a u u f u u b u u u a u u u u a u a u a u c u u u u u u u u u mciliv ","unknown","positive"
" penalty shout lfc t co pa n bjnee ","unknown","negative"
" it has everything but goals so far ud d udd ud d udd t co qx otj ","unknown","positive"
" dugarry pointe du doigt la lenteur des d u e fenses de mancity et liverpool u c a fait parfois peur u e voir ud d ude c u bd ufe f ud c uddec ud c udde u t co avsxm gh y ","unknown","positive"
" she s beautiful n mciliv n t co ca jepbmtb ","unknown","positive"
" mciliv sagna s parents need a slap for not making his first name la ","unknown","negative"
" eh eh ehhh","unknown","positive"
" when you both leave the match with a point each mciliv t co vm fimwtrf ","unknown","positive"
" that guy don t miss from yards u bd ufe f ud d udca lfc ","unknown","negative"
" a class act lfc mciliv cityvlfc milner t co xbogzdwlcy ","unknown","positive"
" ud d udd u ufe f n u b ufe f u bd ufe f ud d udd n mciliv t co rsid zwkze ","unknown","positive"
" manchester city v liverpool n nlive on hd stream all devices n n t co chgmxen rm n t co chgmxen rm n nretw u ","unknown","positive"
" come on city keep attack t co xhvxjdpo w ","unknown","negative"
" firminio celebrated to early ud d ude ud d ude lfc n n t co q glyz qr ","unknown","positive"
" lfc interesting start at the etihad stadium n nplenty of pressing from the reds","unknown","neutral"
" u mciliv n u milner n u a michael oliver n u b sterling n u c totsou n n gmt trndnl t co do hdxwcnc ","unknown","positive"
" yesss millyyyy lfc u ufe f u ufe f ","unknown","positive"
" a look at the league table and you know we needed to win this match honestly","unknown","positive"
" paddypower new custom n football epl sfc lfc n sun n middlesbrough v manutd nman united enhanced to claim u ","unknown","positive"
" this game was hard to watch for a fan of either team mciliv ","unknown","negative"
" i think we can nick this lfc ynwa ","unknown","positive"
" la r u e ponse magnifique de guardiola sur son style de jeu en pl ud d ude ud d udd ud c uddec ud c udde l enqu u eate de transversales ici u a ufe f u ","unknown","positive"
" five manchester city players around oliver after he finally gives penalty fa will presumably charge club for not contro u ","joy","neutral"
" mcfc lfc efl match report n nsergio aguero cancels out milner penalty in thrilling draw u t co khiyunc d ","unknown","positive"
" ","unknown","positive"
" mane is jokes lfc ","unknown","negative"
" come on lads ","unknown","positive"
" she s beautiful n mciliv n t co ekyxyj zgj ","unknown","positive"
" look at the state of that ground ud d ude seriously where is everyone ud d udca ud d ude ud d ude embarrassing much mciliv trampderby ","unknown","negative"
" back to it n ncome on","unknown","positive"
" you could see that coming it s all over lfc ","unknown","positive"
" to all the lfc supporters who are nervous don t be ynwa lfcfamily mciliv ","unknown","negative"
" goal man city liverpool aguero","unknown","positive"
" penalty shout lfc t co pa n bjnee ","unknown","negative"
" mciliv but pour liverpool milner transforme le penalty et lance parfaitement cette e mt ","unknown","negative"
" mcfc tweets good to see you ud d udd ud d udd t co qfaecj l x t co hsshswl lb ","joy","positive"
" dropping far too many points at home","unknown","positive"
" ud e udd ud c udffd u d u ufe f ud e udd ud c udffd u d u ufe f ud e udd ud c udffd u d u ufe f t co k snm jr ","unknown","positive"
" liverpool fans after that miss mciliv t co nwkblub p ","unknown","negative"
" ft ud d udd ud d udd n nan absorbing game at the etihad as the points are shared cityvlfc mcfc t co s xfbiweta ","unknown","negative"
" liverpool fans after that miss mciliv t co nwkblub p ","unknown","negative"
" t co h kd xzdh lfc cualquiera de los dos podr u eda ir ganando pero hasta el momento no se abre la lata ","unknown","positive"
" goal ","unknown","positive"
" it s just a goal nothing to worry about been here before","joy","neutral"
" it s boringmilner","unknown","positive"
" interesting start at the etihad stadium n nplenty of pressing from the reds","unknown","neutral"
" james milner has now scored seven goals in the premier league this season","unknown","positive"
" firmino going off to slide in front of the lfc fans then looks back hahahaha n n t co x jrsunzpd ","unknown","positive"
" awful start by just very erratic approach so far no rhythm at all ","fear","negative"
" d u e couvrez le jardin m u e morial de l etihad stadium u e mancity amp la grande tradition des supporters anglais ud d ude f u bd ufe f ud c uddec ud c udde u ","unknown","positive"
" seleccionados u a gol de el kun empata las acciones ante el liverpool t co agpy vtaw ","unknown","positive"
" it s honours even at the etihad","unknown","positive"
" great game should ve been n midfield superb amp front a defenders nightmare n mciliv ","joy","neutral"
" pure beast","unknown","negative"
" a good battle ud d udd ud d udd t co y qkgj gg ","joy","neutral"
" absolutely stunning game of football could ve been better for lfc","unknown","positive"
" what the heck is she putting inside n mciliv n t co knmdw jt ","unknown","negative"
" baseline karakanayasoka ","unknown","positive"
" what the heck is she putting inside n mciliv n t co ysx ep phm ","unknown","negative"
" watching mancity hopefully beat liverpool t co fwol qimnm ","surprise","positive"
" ud d ude ud d ude ud d ude ud d ude malana what a miss lol ujimile kodwa lomfana ud d ude ud d ude ud d ude c u bd u bd epl mancity liverpool ","unknown","negative"
" u e u e u e d u e b u e u e f u e u e c u e u e u e u e u e b u e u e u e u e u e mcfc u e u e u e u e u e u e a u e lfc u e u e u e u e b u e u e pl goalthailand u e f u e u e u e a u e d u e u e u e u e u e u e b u e u e u e u e u e t co t bdq d pa ","unknown","positive"
" great game we missed so many chances ud c udf n mciliv ynwa ","joy","neutral"
" deux penalty non siffl u e s pour city ud d ude ud d ude ud d ude mciliv ","surprise","negative"
" it seems like fernandinho likes watching the match from outside","joy","positive"
" mciliv adam lallana unbelievable miss manchester city vs liverpool t co adcmbv sa ","unknown","negative"
" pl nft u e u e u e u e u e a u e a u e u e u e d u e u e c u e b u e u e u e u e u e u e u e u e u e d u e u e c u e e u e u e n u e a u e u e d u e u e c u e a u e d u e u e a u e t co zxaucdgwgp t co oc heb pie ","unknown","positive"
" come on t co ujnr uwfq ","unknown","positive"
" watching beat t co zp to vchr ","surprise","positive"
" why are fans booing milner ","unknown","positive"
" weekend recap united with the points amp now th","unknown","positive"
" that s what you get for booing james milner","sadness","negative"
" goal man city liverpool mins james milner slots home from the spot after clichy had fouled firmino mciliv ","unknown","negative"
" ud d ude a t co uspiqpzyem ","unknown","positive"
" what what kloop says me too sure penalty lfc ","unknown","neutral"
" more than happy to take a ff battering and have a scoreless game mciliv ","joy","negative"
" hujan dah mulai reda tpi lapangan masih licin mciliv ","unknown","positive"
" cityvlfc n can t wait to watch lfc n satan ","unknown","negative"
" u a u u u u a u u f u a u u u u u u u u u u u a u u u u u mciliv t co loxr p css ","unknown","positive"
" aguero pulls one back for city mciliv ","unknown","positive"
" milneeeeerrr goooooooaaaalll mci lfc mciliv ynwa ","unknown","positive"
" mom mciliv for me was emre can ruled the midfield like a boss mciliv ","joy","positive"
" firminio celebrated to early ud d ude ud d ude lfc n n t co q glyz qr ","unknown","positive"
" mciliv trying to figure out why city fans are booing milner t co nrluhcivml ","unknown","negative"
" she s beautiful n mciliv n t co qn s ur tj ","unknown","positive"
" ud d udcaa t co rqitvmnir ","unknown","positive"
" niyanya nina ","unknown","positive"
" klavan at fault for aguero s goal ","unknown","negative"
" next up mcfc host lfc minutes until kick off watch on sky sports hd or follow t co yzowmpcnz u ","joy","negative"
" the week diet plan review nfree trial offer t co vfdk k pe n n sundaymorning lamarathon fakemarchmadnessfacts nmike hopkins mciliv ","unknown","negative"
" yes yes just one more min to go nervous t co wezfmwv u ","unknown","neutral"
" mciliv battle of snakes n nsterling vs milner ud d ude ud d ude ","unknown","negative"
" a solid shift from both sides ud d udd ud d udd t co exgngruq y ","unknown","positive"
" what the heck is she putting inside n mciliv n t co bxopqudeai ","unknown","negative"
" gameplay laju nk mampos","unknown","positive"
" a draw against lfc one of the proudest days of his managerial career","unknown","positive"
" fuuucking hell mciliv ","unknown","negative"
" fair result mancity ","unknown","positive"
" it s been a rain soaked battle so far u ufe f t co rgicluqwhk ","unknown","negative"
" and we re under way at etihad stadium for mciliv n nbut which manager will be smiling at the final whistle t c u ","unknown","neutral"
"","unknown","positive"
" eh eh ehhh","unknown","positive"
" as a chelsea fan thank you for the draw dankie san ","unknown","positive"
" battle cry t co t pjbptcbx ","unknown","negative"
" quality match could had been any score line one of the best performances by emre can i ve seen mcfclfc lfc ","anger","positive"
" how boss is milner do tha to the snake lfc ","unknown","positive"
" lfc the reds look for a swift response but firmino s drive crashes into the side netting n n t co daob ikzfm ","unknown","positive"
" haha c est n importe quoi mciliv ","joy","positive"
" liverpool vs manchester city player ratings mciliv let me know your player ratings n n t co dxlyfrloqm ","unknown","positive"
" no fan can never again say that they sell out their games that s a shameful attendance for such an important game ","unknown","negative"
" eh eh ehhh","unknown","positive"
" tell em to stop bottling clear chances ","unknown","positive"
" ft n nspectacular match ud d udc f t co uiwgig tne ","unknown","positive"
" live match mancity vs liverpool masih alot di babak i t co awhpzafge ","joy","positive"
" mmmmm here we go transparent ud d ude t co zlu lsa wh ","unknown","positive"
" paddypower football nufc n lufc afc n premierleague mufc lfc n mcfc avfc spurs efc nbet u a get u a nclaim gt u ","sadness","negative"
" brazilian combination lfc ","unknown","positive"
" u u b a u bbf u bb u ba u bbf u bae u bbf u b f u b a u ba u bcd u ba u bcb u bb u b u bcd u b u bb u bcd n u risingstarredcarpet n u a play for a cause n u b rsmma n u c mciliv ","unknown","positive"
